"","rownames","idNum","date","problem","MDC","citationIssued","personSearch","vehicleSearch","preRace","race","gender","lat","long","policePrecinct","neighborhood"
"1",6823,"17-000003","2017-01-01T06:00:42Z","suspicious","MDC","","NO","NO","Unknown","Unknown","Unknown",44.96661711,-93.24645826,1,"Cedar Riverside"
"2",6824,"17-000007","2017-01-01T06:03:07Z","suspicious","MDC","","NO","NO","Unknown","Unknown","Male",44.98045,-93.27134,1,"Downtown West"
"3",6825,"17-000073","2017-01-01T06:23:15Z","traffic","MDC","","NO","NO","Unknown","White","Female",44.94835,-93.27538,5,"Whittier"
"4",6826,"17-000092","2017-01-01T06:33:48Z","suspicious","MDC","","NO","NO","Unknown","East African","Male",44.94836,-93.28135,5,"Whittier"
"5",6827,"17-000098","2017-01-01T06:37:58Z","traffic","MDC","","NO","NO","Unknown","White","Female",44.9790778,-93.26207579,1,"Downtown West"
"6",6828,"17-000111","2017-01-01T06:46:48Z","traffic","MDC","","NO","NO","Unknown","East African","Male",44.98053512,-93.26362691,1,"Downtown West"
"7",6829,"17-000114","2017-01-01T06:48:46Z","suspicious","MDC","","NO","NO","Unknown","Black","Male",44.98080828,-93.27314066,1,"Downtown West"
"8",6830,"17-000120","2017-01-01T06:50:55Z","traffic","MDC","","NO","NO","Unknown","Other","Female",44.9820925,-93.23815506,2,"Marcy Holmes"
"9",6831,"17-000127","2017-01-01T06:57:10Z","traffic","MDC","","NO","NO","Unknown","White","Male",44.99031863,-93.25204216,2,"Nicollet Island - East Bank"
"10",6832,"17-000139","2017-01-01T07:05:50Z","traffic","MDC","","NO","NO","Unknown","Black","Male",45.01327,-93.30824,4,"Folwell"
"11",6833,"17-000149","2017-01-01T07:09:13Z","suspicious","MDC","","NO","NO","White","Unknown","Male",44.9645834,-93.27658196,5,"Steven's Square - Loring Heights"
"12",6834,"17-000161","2017-01-01T07:15:01Z","traffic","other","","","","","","",44.97308,-93.24772,1,"Cedar Riverside"
"13",6835,"17-000169","2017-01-01T07:19:59Z","traffic","MDC","","NO","NO","Unknown","Black","Male",44.99871047,-93.2530799,2,"St. Anthony East"
"14",6836,"17-000176","2017-01-01T07:22:01Z","traffic","MDC","","NO","NO","Unknown","Black","Male",44.97957,-93.27257,1,"Downtown West"
"15",6837,"17-000204","2017-01-01T07:41:24Z","suspicious","MDC","","NO","NO","Unknown","White","Female",44.98045,-93.27134,1,"Downtown West"
"16",6838,"17-000211","2017-01-01T07:45:09Z","suspicious","MDC","","NO","NO","Unknown","Unknown","Unknown",44.98078144,-93.27429567,1,"Downtown West"
"17",6839,"17-000220","2017-01-01T07:51:02Z","suspicious","MDC","","NO","NO","Unknown","White","Female",44.9915,-93.30572,4,"Willard - Hay"
"18",6840,"17-000224","2017-01-01T07:52:52Z","suspicious","other","","","","","","",44.98124,-93.27254,1,"Downtown West"
"19",6841,"17-000225","2017-01-01T07:53:42Z","traffic","MDC","","NO","NO","Unknown","White","Male",44.99871229,-93.25183571,2,"Logan Park"
"20",6842,"17-000236","2017-01-01T08:04:13Z","suspicious","MDC","","NO","NO","Black","Unknown","Male",44.94925,-93.29573,5,"Lowry Hill East"
"21",6843,"17-000244","2017-01-01T08:09:42Z","traffic","MDC","","NO","NO","Unknown","White","Male",44.99827813,-93.28172579,4,"Near - North"
"22",6844,"17-000266","2017-01-01T08:22:14Z","traffic","MDC","","YES","YES","Unknown","Black","Female",44.99738,-93.28799,4,"Near - North"
"23",6845,"17-000290","2017-01-01T08:33:22Z","suspicious","MDC","","YES","NO","Black","Black","Male",44.98074363,-93.28959927,4,"Sumner - Glenwood"
"24",6846,"17-000298","2017-01-01T08:36:22Z","traffic","MDC","","NO","NO","Unknown","White","Female",44.94836,-93.29065,5,"CARAG"
"25",6847,"17-000317","2017-01-01T08:45:38Z","traffic","MDC","","NO","NO","Unknown","White","Male",44.94836,-93.28555,5,"Whittier"
"26",6848,"17-000333","2017-01-01T08:53:15Z","traffic","MDC","","NO","NO","Unknown","Black","Male",44.99916,-93.29564,4,"Near - North"
"27",6849,"17-000347","2017-01-01T09:04:40Z","traffic","MDC","","NO","NO","Unknown","Unknown","Unknown",44.96091,-93.28801,5,"Whittier"
"28",6850,"17-000362","2017-01-01T09:14:37Z","traffic","MDC","","NO","NO","Unknown","East African","Male",44.94977,-93.3138,5,"Cedar - Isles - Dean"
"29",6851,"17-000365","2017-01-01T09:16:11Z","suspicious","other","","","","","","",45.01043723,-93.29305945,4,"Hawthorne"
"30",6852,"17-000380","2017-01-01T09:23:42Z","traffic","MDC","","NO","NO","Unknown","White","Male",44.96419791,-93.27857261,5,"Steven's Square - Loring Heights"
"31",6853,"17-000388","2017-01-01T09:26:59Z","suspicious","MDC","","NO","NO","Unknown","Unknown","Unknown",44.95463641,-93.28131035,5,"Whittier"
"32",6854,"17-000395","2017-01-01T09:33:29Z","suspicious","MDC","","NO","NO","Black","Unknown","Unknown",45.02392802,-93.23903648,2,"Audubon Park"
"33",6855,"17-000414","2017-01-01T10:00:02Z","suspicious","other","","","","","","",44.97246,-93.26489,1,"Elliot Park"
"34",6856,"17-000421","2017-01-01T10:05:54Z","suspicious","other","","","","","","",44.9915029,-93.30508811,4,"Willard - Hay"
"35",6857,"17-000426","2017-01-01T10:20:33Z","suspicious","other","","","","","","",44.90900519,-93.21456322,3,"Minnehaha"
"36",6858,"17-000429","2017-01-01T10:27:38Z","traffic","MDC","","NO","NO","Unknown","White","Female",44.94473,-93.28814,5,"Lyndale"
"37",6860,"17-000473","2017-01-01T11:46:55Z","traffic","MDC","","NO","NO","Unknown","Asian","Male",45.01266897,-93.24734147,2,"Windom Park"
"38",6861,"17-000488","2017-01-01T12:47:07Z","suspicious","MDC","","NO","NO","Black","Unknown","Unknown",44.94044075,-93.27791575,5,"Lyndale"
"39",6862,"17-000522","2017-01-01T14:31:30Z","traffic","MDC","","NO","NO","Unknown","White","Female",45.00482,-93.29564,4,"Jordan"
"40",6863,"17-000536","2017-01-01T15:02:59Z","suspicious","MDC","","NO","NO","Black","Unknown","Male",44.97092,-93.25508,1,"Downtown East"
